,Target,secondary_structure,source,taxonomy,size,oligomeric_state
1,T1104,all_alpha,X-RAY,Bacteria,117,monomer
2,T1104-D1,all_alpha,X-RAY,Bacteria,117,monomer
3,T1106s1,all_alpha,X-RAY,Bacteria,122,hetero-oligomer
4,T1106s1-D1,all_alpha,X-RAY,Bacteria,71,hetero-oligomer
5,T1106s2,all_alpha,X-RAY,Bacteria,114,hetero-oligomer
6,T1106s2-D1,all_alpha,X-RAY,Bacteria,111,hetero-oligomer
7,T1109,mixed,X-RAY,Bacteria,227,hetero-oligomer
8,T1109-D1,mixed,X-RAY,Bacteria,214,hetero-oligomer
9,T1110,mixed,X-RAY,Bacteria,227,homo-oligomer
10,T1110-D1,mixed,X-RAY,Bacteria,221,homo-oligomer
11,T1112,mixed,X-RAY,Archaea,460,homo-oligomer
12,T1112-D1,mixed,X-RAY,Archaea,460,homo-oligomer
13,T1113,mixed,X-RAY,Virus,193,homo-oligomer
14,T1113-D1,mixed,X-RAY,Virus,192,homo-oligomer
15,T1114s1,all_alpha,EM,Bacteria,189,hetero-oligomer
16,T1114s1-D1,all_alpha,EM,Bacteria,60,hetero-oligomer
17,T1114s1-D2,all_alpha,EM,Bacteria,110,hetero-oligomer
18,T1114s2,mostly_alpha,EM,Bacteria,369,hetero-oligomer
19,T1114s2-D1,mostly_alpha,EM,Bacteria,322,hetero-oligomer
20,T1114s3,mostly_alpha,EM,Bacteria,535,hetero-oligomer
21,T1114s3-D1,mostly_alpha,EM,Bacteria,513,hetero-oligomer
22,T1115,mostly_alpha,EM,Eukaryotes,288,homo-oligomer
23,T1115-D1,mixed,EM,Eukaryotes,176,homo-oligomer
24,T1115-D2,all_alpha,EM,Eukaryotes,72,homo-oligomer
25,T1119,all_alpha,X-RAY,De novo,153,homo-oligomer
26,T1119-D1,all_alpha,X-RAY,De novo,48,homo-oligomer
27,T1120,mostly_alpha,X-RAY,Bacteria,235,monomer
28,T1120-D1,mostly_alpha,X-RAY,Bacteria,118,monomer
29,T1120-D2,all_alpha,X-RAY,Bacteria,110,monomer
30,T1121,mostly_alpha,EM,Bacteria,381,homo-oligomer
31,T1121-D1,mostly_alpha,EM,Bacteria,203,homo-oligomer
32,T1121-D2,mixed,EM,Bacteria,177,homo-oligomer
33,T1122,mostly_alpha,X-RAY,Virus,241,monomer
34,T1122-D1,mostly_alpha,X-RAY,Virus,234,monomer
35,T1123,mostly_beta,X-RAY,Virus,266,homo-oligomer
36,T1123-D1,mostly_beta,X-RAY,Virus,226,homo-oligomer
37,T1124,mostly_alpha,X-RAY,Bacteria,383,homo-oligomer
38,T1124-D1,mostly_alpha,X-RAY,Bacteria,378,homo-oligomer
39,T1125,mostly_alpha,X-RAY,Virus,1200,monomer
40,T1125-D1,mostly_alpha,X-RAY,Virus,134,monomer
41,T1125-D2,mostly_beta,X-RAY,Virus,148,monomer
42,T1125-D3,mostly_beta,X-RAY,Virus,189,monomer
43,T1125-D4,mostly_alpha,X-RAY,Virus,149,monomer
44,T1125-D5,mostly_alpha,X-RAY,Virus,150,monomer
45,T1125-D6,all_alpha,X-RAY,Virus,66,monomer
46,T1127,mixed,X-RAY,Eukaryotes,211,homo-oligomer
47,T1127-D1,mixed,X-RAY,Eukaryotes,205,homo-oligomer
48,T1127v2,mixed,X-RAY,Eukaryotes,211,homo-oligomer
49,T1129s2,mostly_beta,EM,Bacteria,640,monomer
50,T1129s2-D1,mostly_beta,EM,Bacteria,608,monomer
51,T1130,mostly_alpha,X-RAY,Eukaryotes,198,homo-oligomer
52,T1130-D1,mostly_alpha,X-RAY,Eukaryotes,163,homo-oligomer
53,T1131,all_alpha,X-RAY,Eukaryotes,173,monomer
54,T1131-D1,all_alpha,X-RAY,Eukaryotes,161,monomer
55,T1132,mixed,X-RAY,Bacteria,102,homo-oligomer
56,T1132-D1,mixed,X-RAY,Bacteria,98,homo-oligomer
57,T1133,all_beta,X-RAY,Eukaryotes,585,monomer
58,T1133-D1,all_beta,X-RAY,Eukaryotes,424,monomer
59,T1134s1,all_alpha,X-RAY,Bacteria,230,hetero-oligomer
60,T1134s1-D1,all_alpha,X-RAY,Bacteria,229,hetero-oligomer
61,T1134s2,mostly_alpha,X-RAY,Bacteria,313,hetero-oligomer
62,T1134s2-D1,mostly_alpha,X-RAY,Bacteria,304,hetero-oligomer
63,T1137s1,mostly_alpha,EM,Bacteria,409,hetero-oligomer
64,T1137s1-D1,mixed,EM,Bacteria,150,hetero-oligomer
65,T1137s1-D2,mostly_alpha,EM,Bacteria,240,hetero-oligomer
66,T1137s2,mostly_alpha,EM,Bacteria,343,hetero-oligomer
67,T1137s2-D1,mixed,EM,Bacteria,149,hetero-oligomer
68,T1137s2-D2,mostly_alpha,EM,Bacteria,194,hetero-oligomer
69,T1137s3,mostly_alpha,EM,Bacteria,524,hetero-oligomer
70,T1137s3-D1,mixed,EM,Bacteria,149,hetero-oligomer
71,T1137s3-D2,all_alpha,EM,Bacteria,164,hetero-oligomer
72,T1137s4,mostly_alpha,EM,Bacteria,547,hetero-oligomer
73,T1137s4-D1,mostly_beta,EM,Bacteria,116,hetero-oligomer
74,T1137s4-D2,all_alpha,EM,Bacteria,235,hetero-oligomer
75,T1137s4-D3,mixed,EM,Bacteria,74,hetero-oligomer
76,T1137s5,mostly_alpha,EM,Bacteria,390,hetero-oligomer
77,T1137s5-D1,mostly_beta,EM,Bacteria,137,hetero-oligomer
78,T1137s5-D2,all_alpha,EM,Bacteria,221,hetero-oligomer
79,T1137s6,mostly_alpha,EM,Bacteria,518,hetero-oligomer
80,T1137s6-D1,mixed,EM,Bacteria,151,hetero-oligomer
81,T1137s6-D2,all_alpha,EM,Bacteria,248,hetero-oligomer
82,T1137s7,mostly_alpha,EM,Bacteria,653,hetero-oligomer
83,T1137s7-D1,mostly_alpha,EM,Bacteria,325,hetero-oligomer
84,T1137s8,all_alpha,EM,Bacteria,266,hetero-oligomer
85,T1137s8-D1,all_alpha,EM,Bacteria,251,hetero-oligomer
86,T1137s9,all_alpha,EM,Bacteria,289,hetero-oligomer
87,T1137s9-D1,all_alpha,EM,Bacteria,265,hetero-oligomer
88,T1139,mixed,X-RAY,Eukaryotes,317,monomer
89,T1139-D1,mixed,X-RAY,Eukaryotes,295,monomer
90,T1145,mostly_beta,X-RAY,Bacteria,635,homo-oligomer
91,T1145-D1,all_beta,X-RAY,Bacteria,99,homo-oligomer
92,T1145-D2,mostly_beta,X-RAY,Bacteria,533,homo-oligomer
93,T1146,mixed,X-RAY,Bacteria,310,monomer
94,T1146-D1,mixed,X-RAY,Bacteria,279,monomer
95,T1147,all_beta,X-RAY,Bacteria,103,monomer
96,T1147-D1,all_beta,X-RAY,Bacteria,92,monomer
97,T1150,mostly_alpha,X-RAY,Bacteria,370,monomer
98,T1150-D1,mostly_alpha,X-RAY,Bacteria,349,monomer
99,T1151s2,mostly_alpha,X-RAY,Bacteria,116,hetero-oligomer
100,T1151s2-D1,mostly_alpha,X-RAY,Bacteria,84,hetero-oligomer
101,T1152,mostly_alpha,X-RAY,Bacteria,56,homo-oligomer
102,T1152-D1,mostly_alpha,X-RAY,Bacteria,46,homo-oligomer
103,T1153,mostly_beta,X-RAY,Eukaryotes,299,homo-oligomer
104,T1153-D1,mostly_beta,X-RAY,Eukaryotes,295,homo-oligomer
105,T1154,mostly_beta,EM,Archaea,1424,monomer
106,T1154-D1,mostly_beta,EM,Archaea,205,monomer
107,T1154-D2,mostly_beta,EM,Archaea,835,monomer
108,T1155,all_alpha,NMR,Eukaryotes,116,monomer
109,T1155-D1,all_alpha,NMR,Eukaryotes,104,monomer
110,T1157s1,mostly_alpha,EM,Fungus,1029,hetero-oligomer
111,T1157s1-D1,mostly_alpha,EM,Fungus,661,hetero-oligomer
112,T1157s1-D2,mostly_beta,EM,Fungus,114,hetero-oligomer
113,T1157s1-D3,mixed,EM,Fungus,247,hetero-oligomer
114,T1157s2,mostly_alpha,EM,Fungus,495,hetero-oligomer
115,T1157s2-D1,mostly_alpha,EM,Fungus,106,hetero-oligomer
116,T1157s2-D2,mostly_alpha,EM,Fungus,217,hetero-oligomer
117,T1157s2-D3,mixed,EM,Fungus,141,hetero-oligomer
118,T1158,mostly_alpha,EM,Eukaryotes,1340,monomer
119,T1158-D1,mostly_alpha,EM,Eukaryotes,556,monomer
120,T1158-D2,mostly_alpha,EM,Eukaryotes,603,monomer
121,T1158v1,mostly_alpha,X-RAY,Eukaryotes,1340,monomer
122,T1158v2,mostly_alpha,X-RAY,Eukaryotes,1340,monomer
123,T1158v3,mostly_alpha,X-RAY,Eukaryotes,1340,monomer
124,T1158v4,mostly_alpha,X-RAY,Eukaryotes,1340,monomer
125,T1159,mixed,X-RAY,Bacteria,160,monomer
126,T1159-D1,mixed,X-RAY,Bacteria,160,monomer
127,T1160,all_alpha,X-RAY,Synthetic,48,homo-oligomer
128,T1160-D1,all_alpha,X-RAY,Synthetic,29,homo-oligomer
129,T1161,mixed,X-RAY,Synthetic,48,homo-oligomer
130,T1161-D1,mixed,X-RAY,Synthetic,48,homo-oligomer
131,T1162,mostly_alpha,X-RAY,Eukaryotes,196,monomer
132,T1162-D1,mostly_alpha,X-RAY,Eukaryotes,163,monomer
133,T1163,mixed,X-RAY,Eukaryotes,191,monomer
134,T1163-D1,mixed,X-RAY,Eukaryotes,184,monomer
135,T1165,mostly_alpha,EM,Fungus,3014,monomer
136,T1165-D1,mostly_alpha,EM,Fungus,594,monomer
137,T1165-D2,mostly_alpha,EM,Fungus,724,monomer
138,T1165-D3,all_alpha,EM,Fungus,689,monomer
139,T1165-D4,all_alpha,EM,Fungus,82,monomer
140,T1165-D5,all_alpha,EM,Fungus,380,monomer
141,T1165-D6,all_alpha,EM,Fungus,440,monomer
142,T1169,mostly_beta,EM,Eukaryotes,3364,monomer
143,T1169-D1,mostly_beta,EM,Eukaryotes,345,monomer
144,T1169-D2,mostly_beta,EM,Eukaryotes,1434,monomer
145,T1169-D3,mostly_beta,EM,Eukaryotes,401,monomer
146,T1169-D4,mostly_beta,EM,Eukaryotes,523,monomer
147,T1170,mostly_alpha,EM,Bacteria,318,homo-oligomer
148,T1170-D1,mostly_alpha,EM,Bacteria,240,homo-oligomer
149,T1170-D2,mostly_alpha,EM,Bacteria,72,homo-oligomer
150,T1173,mostly_beta,X-RAY,Bacteria,204,homo-oligomer
151,T1173-D1,all_beta,X-RAY,Bacteria,62,homo-oligomer
152,T1173-D2,mostly_beta,X-RAY,Bacteria,142,homo-oligomer
153,T1174,all_beta,X-RAY,Bacteria,338,homo-oligomer
154,T1174-D1,all_beta,X-RAY,Bacteria,216,homo-oligomer
155,T1174-D2,all_beta,X-RAY,Bacteria,122,homo-oligomer
156,T1175,all_beta,X-RAY,Bacteria,312,homo-oligomer
157,T1175-D1,all_beta,X-RAY,Bacteria,312,homo-oligomer
158,T1177,mixed,X-RAY,Bacteria,223,monomer
159,T1177-D1,mixed,X-RAY,Bacteria,223,monomer
160,T1178,mostly_beta,X-RAY,Virus,306,homo-oligomer
161,T1178-D1,mostly_beta,X-RAY,Virus,275,homo-oligomer
162,T1179,mostly_beta,X-RAY,Virus,261,homo-oligomer
163,T1179-D1,mostly_beta,X-RAY,Virus,252,homo-oligomer
164,T1180,mostly_alpha,X-RAY,Bacteria,404,monomer
165,T1180-D1,mostly_alpha,X-RAY,Bacteria,404,monomer
166,T1181,mostly_beta,X-RAY,Virus,688,homo-oligomer
167,T1181-D1,mixed,X-RAY,Virus,88,homo-oligomer
168,T1181-D2,mostly_beta,X-RAY,Virus,600,homo-oligomer
169,T1182,mostly_alpha,X-RAY,Bacteria,544,monomer
170,T1182-D1,mostly_alpha,X-RAY,Bacteria,524,monomer
171,T1183,mixed,X-RAY,Bacteria,200,monomer
172,T1183-D1,mixed,X-RAY,Bacteria,195,monomer
173,T1184,mostly_beta,X-RAY,Bacteria,171,homo-oligomer
174,T1184-D1,mostly_beta,X-RAY,Bacteria,125,homo-oligomer
175,T1185s1,all_alpha,EM,Eukaryotes,350,monomer
176,T1185s1-D1,all_alpha,EM,Eukaryotes,68,monomer
177,T1185s2,mostly_alpha,EM,Eukaryotes,376,monomer
178,T1185s2-D1,mostly_alpha,EM,Eukaryotes,322,monomer
179,T1185s4,mixed,EM,Eukaryotes,280,monomer
180,T1185s4-D1,mixed,EM,Eukaryotes,234,monomer
181,T1187,all_beta,X-RAY,Eukaryotes,166,homo-oligomer
182,T1187-D1,all_beta,X-RAY,Eukaryotes,164,homo-oligomer
183,T1188,mixed,X-RAY,Bacteria,630,monomer
184,T1188-D1,mixed,X-RAY,Bacteria,573,monomer
185,T1194,all_beta,X-RAY,Bacteria,168,monomer
186,T1194-D1,all_beta,X-RAY,Bacteria,161,monomer
187,T1195,mostly_alpha,NMR,Eukaryotes,279,monomer
188,T1195-D1,mostly_alpha,NMR,Eukaryotes,277,monomer
189,T1195v1,mostly_alpha,NMR,Eukaryotes,279,monomer
190,T1196,mostly_alpha,NMR,Eukaryotes,361,monomer
191,T1196-D1,mostly_alpha,NMR,Eukaryotes,343,monomer
192,T1196v1,mostly_alpha,NMR,Eukaryotes,361,monomer
193,T1196v2,mostly_alpha,NMR,Eukaryotes,361,monomer
194,T1197,mostly_alpha,NMR,Eukaryotes,289,monomer
195,T1197-D1,mostly_alpha,NMR,Eukaryotes,262,monomer
196,T1197v1,mostly_alpha,NMR,Eukaryotes,289,monomer
197,T1197v2,mostly_alpha,NMR,Eukaryotes,289,monomer
198,T1197v3,mostly_alpha,NMR,Eukaryotes,289,monomer
199,T1176-D9,all_beta,X-RAY,Bacteria,170,homo-oligomer
